Itemset,Frekuensi,Persentase (%)
"Alat Tulis, Aksesoris Buku, Buku Anak-Anak",92,19.13
"Alat Tulis, Majalah Berita, Buku Anak-Anak",71,14.76
"Alat Tulis, Buku Biografi, Buku Anak-Anak",70,14.55
"Alat Tulis, Buku Anak-Anak, Buku Sejarah",70,14.55
"Alat Tulis, Aksesoris Buku, Majalah Seni",68,14.14
"Alat Tulis, Aksesoris Buku, Buku Fiksi",68,14.14
"Alat Tulis, Novel Romansa, Buku Anak-Anak",68,14.14
"Alat Tulis, Aksesoris Buku, Novel Romansa",68,14.14
"Alat Tulis, Buku Anak-Anak, Novel Misteri",67,13.93
"Alat Tulis, Majalah Seni, Buku Anak-Anak",66,13.72
"Alat Tulis, Buku Anak-Anak, Buku Fiksi",65,13.51
"Alat Tulis, Aksesoris Buku, Buku Biografi",64,13.31
"Alat Tulis, Majalah Fashion, Buku Anak-Anak",63,13.1
"Alat Tulis, Majalah Seni, Majalah Fashion",63,13.1
"Alat Tulis, Buku Anak-Anak, Novel Fiksi Ilmiah",63,13.1
"Alat Tulis, Aksesoris Buku, Majalah Fashion",60,12.47
"Alat Tulis, Majalah Seni, Buku Sejarah",60,12.47
"Alat Tulis, Aksesoris Buku, Novel Misteri",59,12.27
"Alat Tulis, Majalah Seni, Buku Biografi",58,12.06
"Alat Tulis, Novel Romansa, Novel Misteri",58,12.06
"Alat Tulis, Majalah Seni, Novel Misteri",57,11.85
"Aksesoris Buku, Majalah Seni, Majalah Fashion",57,11.85
"Alat Tulis, Buku Biografi, Novel Romansa",56,11.64
"Alat Tulis, Majalah Fashion, Majalah Berita",56,11.64
"Alat Tulis, Aksesoris Buku, Buku Sejarah",56,11.64
"Alat Tulis, Majalah Seni, Majalah Berita",55,11.43
"Alat Tulis, Majalah Berita, Buku Sejarah",55,11.43
"Alat Tulis, Majalah Seni, Novel Romansa",55,11.43
"Alat Tulis, Majalah Fashion, Novel Fiksi Ilmiah",55,11.43
"Alat Tulis, Novel Romansa, Buku Fiksi",55,11.43
"Alat Tulis, Majalah Berita, Buku Fiksi",54,11.23
"Alat Tulis, Aksesoris Buku, Majalah Berita",54,11.23
"Alat Tulis, Novel Romansa, Buku Sejarah",53,11.02
"Alat Tulis, Buku Biografi, Novel Fiksi Ilmiah",53,11.02
"Alat Tulis, Majalah Berita, Novel Fiksi Ilmiah",52,10.81
"Alat Tulis, Majalah Fashion, Novel Misteri",52,10.81
"Alat Tulis, Aksesoris Buku, Novel Fiksi Ilmiah",52,10.81
"Alat Tulis, Novel Misteri, Buku Fiksi",52,10.81
"Alat Tulis, Buku Biografi, Novel Misteri",52,10.81
"Majalah Seni, Buku Biografi, Majalah Fashion",51,10.6
"Alat Tulis, Novel Romansa, Majalah Berita",51,10.6
"Aksesoris Buku, Majalah Seni, Novel Romansa",51,10.6
"Alat Tulis, Majalah Seni, Novel Fiksi Ilmiah",51,10.6
"Alat Tulis, Buku Biografi, Majalah Fashion",51,10.6
"Aksesoris Buku, Majalah Seni, Buku Anak-Anak",51,10.6
"Aksesoris Buku, Majalah Seni, Buku Biografi",50,10.4
"Aksesoris Buku, Buku Anak-Anak, Buku Fiksi",50,10.4
"Aksesoris Buku, Buku Biografi, Buku Anak-Anak",50,10.4
"Alat Tulis, Majalah Seni, Buku Fiksi",49,10.19
"Alat Tulis, Buku Biografi, Buku Sejarah",49,10.19
"Alat Tulis, Buku Sejarah, Buku Fiksi",49,10.19
"Alat Tulis, Novel Romansa, Novel Fiksi Ilmiah",49,10.19
"Alat Tulis, Buku Biografi, Buku Fiksi",49,10.19
"Aksesoris Buku, Novel Romansa, Buku Fiksi",49,10.19
"Alat Tulis, Majalah Berita, Novel Misteri",48,9.98
"Alat Tulis, Novel Misteri, Novel Fiksi Ilmiah",48,9.98
"Majalah Seni, Novel Romansa, Majalah Fashion",48,9.98
"Alat Tulis, Majalah Fashion, Buku Fiksi",48,9.98
"Aksesoris Buku, Novel Romansa, Buku Anak-Anak",48,9.98
"Alat Tulis, Majalah Fashion, Buku Sejarah",48,9.98
"Aksesoris Buku, Novel Romansa, Novel Misteri",47,9.77
"Alat Tulis, Buku Biografi, Majalah Berita",47,9.77
"Majalah Seni, Buku Biografi, Buku Sejarah",47,9.77
"Majalah Seni, Buku Biografi, Novel Romansa",47,9.77
"Alat Tulis, Novel Romansa, Majalah Fashion",47,9.77
"Majalah Seni, Majalah Fashion, Buku Sejarah",47,9.77
"Aksesoris Buku, Buku Biografi, Novel Romansa",47,9.77
"Aksesoris Buku, Majalah Berita, Buku Fiksi",46,9.56
"Majalah Seni, Majalah Fashion, Majalah Berita",46,9.56
"Novel Romansa, Majalah Berita, Novel Misteri",46,9.56
"Alat Tulis, Buku Fiksi, Novel Fiksi Ilmiah",46,9.56
"Majalah Seni, Majalah Fashion, Novel Misteri",45,9.36
"Majalah Seni, Novel Romansa, Buku Sejarah",45,9.36
"Majalah Seni, Novel Romansa, Novel Misteri",45,9.36
"Buku Biografi, Majalah Fashion, Novel Fiksi Ilmiah",45,9.36
"Buku Biografi, Novel Misteri, Buku Fiksi",45,9.36
"Alat Tulis, Novel Misteri, Buku Sejarah",45,9.36
"Aksesoris Buku, Majalah Fashion, Novel Misteri",44,9.15
"Aksesoris Buku, Majalah Berita, Buku Anak-Anak",44,9.15
"Aksesoris Buku, Buku Anak-Anak, Novel Fiksi Ilmiah",44,9.15
"Aksesoris Buku, Buku Anak-Anak, Novel Misteri",44,9.15
"Aksesoris Buku, Majalah Fashion, Buku Anak-Anak",44,9.15
"Aksesoris Buku, Buku Biografi, Majalah Fashion",44,9.15
"Novel Romansa, Majalah Fashion, Novel Misteri",43,8.94
"Buku Biografi, Novel Misteri, Novel Fiksi Ilmiah",43,8.94
"Buku Biografi, Novel Romansa, Novel Misteri",43,8.94
"Majalah Seni, Buku Biografi, Novel Fiksi Ilmiah",43,8.94
"Majalah Fashion, Novel Misteri, Novel Fiksi Ilmiah",43,8.94
"Aksesoris Buku, Majalah Fashion, Novel Fiksi Ilmiah",43,8.94
"Aksesoris Buku, Novel Romansa, Buku Sejarah",43,8.94
"Alat Tulis, Buku Sejarah, Novel Fiksi Ilmiah",43,8.94
"Aksesoris Buku, Buku Biografi, Novel Fiksi Ilmiah",43,8.94
"Buku Biografi, Novel Romansa, Buku Fiksi",42,8.73
"Aksesoris Buku, Majalah Fashion, Majalah Berita",42,8.73
"Aksesoris Buku, Buku Biografi, Novel Misteri",42,8.73
"Majalah Seni, Majalah Fashion, Novel Fiksi Ilmiah",42,8.73
"Majalah Seni, Buku Biografi, Buku Fiksi",42,8.73
"Buku Biografi, Novel Romansa, Novel Fiksi Ilmiah",42,8.73
"Majalah Seni, Buku Biografi, Novel Misteri",42,8.73
"Buku Biografi, Majalah Fashion, Majalah Berita",42,8.73
"Majalah Seni, Buku Biografi, Majalah Berita",42,8.73
"Aksesoris Buku, Buku Biografi, Buku Fiksi",42,8.73
"Buku Biografi, Majalah Fashion, Buku Fiksi",42,8.73
"Majalah Berita, Novel Misteri, Novel Fiksi Ilmiah",42,8.73
"Novel Romansa, Novel Misteri, Buku Fiksi",42,8.73
"Majalah Fashion, Majalah Berita, Buku Fiksi",42,8.73
"Aksesoris Buku, Majalah Seni, Buku Sejarah",41,8.52
"Novel Romansa, Majalah Fashion, Novel Fiksi Ilmiah",41,8.52
"Majalah Fashion, Majalah Berita, Novel Misteri",41,8.52
"Majalah Fashion, Majalah Berita, Novel Fiksi Ilmiah",41,8.52
"Buku Biografi, Majalah Berita, Novel Fiksi Ilmiah",41,8.52
"Aksesoris Buku, Buku Sejarah, Buku Fiksi",41,8.52
"Aksesoris Buku, Novel Romansa, Majalah Fashion",41,8.52
"Majalah Seni, Majalah Fashion, Buku Fiksi",40,8.32
"Majalah Seni, Novel Romansa, Buku Fiksi",40,8.32
"Majalah Berita, Buku Sejarah, Buku Fiksi",40,8.32
"Aksesoris Buku, Majalah Seni, Novel Misteri",40,8.32
"Aksesoris Buku, Majalah Seni, Majalah Berita",40,8.32
"Buku Biografi, Novel Romansa, Buku Sejarah",40,8.32
"Novel Romansa, Majalah Berita, Buku Sejarah",40,8.32
"Novel Romansa, Majalah Berita, Buku Fiksi",40,8.32
"Aksesoris Buku, Majalah Fashion, Buku Fiksi",40,8.32
"Buku Biografi, Majalah Berita, Buku Fiksi",39,8.11
"Majalah Seni, Buku Biografi, Buku Anak-Anak",39,8.11
"Majalah Seni, Buku Sejarah, Buku Fiksi",39,8.11
"Majalah Seni, Novel Misteri, Novel Fiksi Ilmiah",39,8.11
"Aksesoris Buku, Majalah Seni, Buku Fiksi",39,8.11
"Buku Biografi, Majalah Berita, Novel Misteri",39,8.11
"Majalah Seni, Majalah Berita, Buku Fiksi",39,8.11
"Majalah Fashion, Majalah Berita, Buku Anak-Anak",39,8.11
"Buku Biografi, Buku Fiksi, Novel Fiksi Ilmiah",39,8.11
"Aksesoris Buku, Majalah Berita, Novel Misteri",38,7.9
"Aksesoris Buku, Novel Misteri, Buku Fiksi",38,7.9
"Buku Biografi, Novel Romansa, Majalah Fashion",38,7.9
"Aksesoris Buku, Novel Misteri, Novel Fiksi Ilmiah",38,7.9
"Buku Biografi, Buku Anak-Anak, Novel Misteri",38,7.9
"Aksesoris Buku, Buku Fiksi, Novel Fiksi Ilmiah",38,7.9
"Majalah Seni, Majalah Berita, Buku Anak-Anak",38,7.9
"Majalah Seni, Majalah Berita, Buku Sejarah",38,7.9
"Majalah Seni, Majalah Fashion, Buku Anak-Anak",38,7.9
"Majalah Seni, Buku Anak-Anak, Novel Misteri",37,7.69
"Majalah Fashion, Majalah Berita, Buku Sejarah",37,7.69
"Aksesoris Buku, Novel Romansa, Majalah Berita",37,7.69
"Novel Romansa, Buku Fiksi, Novel Fiksi Ilmiah",37,7.69
"Majalah Seni, Novel Romansa, Majalah Berita",37,7.69
"Novel Misteri, Buku Fiksi, Novel Fiksi Ilmiah",37,7.69
"Aksesoris Buku, Buku Biografi, Majalah Berita",37,7.69
"Buku Biografi, Majalah Fashion, Novel Misteri",37,7.69
"Majalah Berita, Buku Anak-Anak, Novel Fiksi Ilmiah",37,7.69
"Majalah Berita, Novel Misteri, Buku Fiksi",37,7.69
"Aksesoris Buku, Majalah Berita, Novel Fiksi Ilmiah",37,7.69
"Novel Romansa, Majalah Berita, Novel Fiksi Ilmiah",37,7.69
"Novel Romansa, Novel Misteri, Buku Sejarah",36,7.48
"Majalah Seni, Majalah Berita, Novel Fiksi Ilmiah",36,7.48
"Novel Romansa, Novel Misteri, Novel Fiksi Ilmiah",36,7.48
"Buku Biografi, Novel Romansa, Buku Anak-Anak",36,7.48
"Majalah Fashion, Novel Misteri, Buku Fiksi",36,7.48
"Aksesoris Buku, Buku Anak-Anak, Buku Sejarah",36,7.48
"Majalah Seni, Novel Misteri, Buku Fiksi",36,7.48
"Aksesoris Buku, Majalah Fashion, Buku Sejarah",36,7.48
"Aksesoris Buku, Novel Romansa, Novel Fiksi Ilmiah",36,7.48
"Majalah Berita, Buku Anak-Anak, Buku Fiksi",36,7.48
"Aksesoris Buku, Majalah Seni, Novel Fiksi Ilmiah",36,7.48
"Novel Romansa, Buku Anak-Anak, Novel Misteri",35,7.28
"Majalah Seni, Majalah Berita, Novel Misteri",35,7.28
"Novel Romansa, Buku Sejarah, Buku Fiksi",35,7.28
"Novel Romansa, Majalah Fashion, Majalah Berita",35,7.28
"Buku Biografi, Buku Sejarah, Buku Fiksi",35,7.28
"Aksesoris Buku, Buku Biografi, Buku Sejarah",35,7.28
"Buku Biografi, Majalah Berita, Buku Anak-Anak",35,7.28
"Majalah Seni, Novel Romansa, Novel Fiksi Ilmiah",35,7.28
"Majalah Berita, Buku Anak-Anak, Buku Sejarah",35,7.28
"Novel Romansa, Majalah Fashion, Buku Fiksi",34,7.07
"Majalah Seni, Buku Anak-Anak, Novel Fiksi Ilmiah",34,7.07
"Buku Biografi, Majalah Berita, Buku Sejarah",34,7.07
"Majalah Berita, Buku Fiksi, Novel Fiksi Ilmiah",34,7.07
"Aksesoris Buku, Novel Misteri, Buku Sejarah",33,6.86
"Majalah Fashion, Buku Fiksi, Novel Fiksi Ilmiah",33,6.86
"Majalah Fashion, Buku Sejarah, Buku Fiksi",33,6.86
"Aksesoris Buku, Majalah Berita, Buku Sejarah",33,6.86
"Majalah Berita, Novel Misteri, Buku Sejarah",33,6.86
"Buku Biografi, Buku Anak-Anak, Buku Fiksi",33,6.86
"Majalah Seni, Novel Misteri, Buku Sejarah",33,6.86
"Buku Biografi, Majalah Fashion, Buku Sejarah",33,6.86
"Buku Biografi, Buku Sejarah, Novel Fiksi Ilmiah",32,6.65
"Buku Biografi, Novel Misteri, Buku Sejarah",32,6.65
"Novel Romansa, Buku Sejarah, Novel Fiksi Ilmiah",32,6.65
"Buku Biografi, Buku Anak-Anak, Novel Fiksi Ilmiah",32,6.65
"Majalah Berita, Buku Anak-Anak, Novel Misteri",32,6.65
"Majalah Seni, Buku Sejarah, Novel Fiksi Ilmiah",32,6.65
"Majalah Seni, Buku Fiksi, Novel Fiksi Ilmiah",32,6.65
"Majalah Fashion, Buku Anak-Anak, Novel Fiksi Ilmiah",32,6.65
"Buku Biografi, Novel Romansa, Majalah Berita",32,6.65
"Novel Misteri, Buku Sejarah, Buku Fiksi",31,6.44
"Buku Anak-Anak, Novel Misteri, Buku Fiksi",31,6.44
"Majalah Seni, Novel Romansa, Buku Anak-Anak",31,6.44
"Buku Biografi, Majalah Fashion, Buku Anak-Anak",31,6.44
"Novel Romansa, Buku Anak-Anak, Buku Fiksi",31,6.44
"Novel Romansa, Majalah Berita, Buku Anak-Anak",30,6.24
"Novel Romansa, Majalah Fashion, Buku Sejarah",30,6.24
"Aksesoris Buku, Buku Sejarah, Novel Fiksi Ilmiah",29,6.03
"Novel Romansa, Buku Anak-Anak, Novel Fiksi Ilmiah",29,6.03
"Buku Sejarah, Buku Fiksi, Novel Fiksi Ilmiah",28,5.82
"Majalah Seni, Buku Anak-Anak, Buku Sejarah",28,5.82
"Majalah Fashion, Buku Anak-Anak, Novel Misteri",28,5.82
"Novel Romansa, Buku Anak-Anak, Buku Sejarah",28,5.82
"Buku Anak-Anak, Novel Misteri, Novel Fiksi Ilmiah",28,5.82
"Majalah Seni, Buku Anak-Anak, Buku Fiksi",28,5.82
"Majalah Fashion, Buku Anak-Anak, Buku Fiksi",28,5.82
"Majalah Fashion, Novel Misteri, Buku Sejarah",27,5.61
"Majalah Fashion, Buku Sejarah, Novel Fiksi Ilmiah",27,5.61
"Buku Biografi, Buku Anak-Anak, Buku Sejarah",26,5.41
"Buku Anak-Anak, Buku Fiksi, Novel Fiksi Ilmiah",26,5.41
"Majalah Berita, Buku Sejarah, Novel Fiksi Ilmiah",26,5.41
"Novel Romansa, Majalah Fashion, Buku Anak-Anak",25,5.2
"Majalah Fashion, Buku Anak-Anak, Buku Sejarah",25,5.2
"Buku Anak-Anak, Novel Misteri, Buku Sejarah",24,4.99
"Buku Anak-Anak, Buku Sejarah, Buku Fiksi",24,4.99
"Buku Anak-Anak, Buku Sejarah, Novel Fiksi Ilmiah",24,4.99
"Novel Misteri, Buku Sejarah, Novel Fiksi Ilmiah",20,4.16
